datetime,temperature,pressure,altitude,sensorVoltage,humidity,trueHumidity
2018-07-27 01:39:21,18.50,100.11,77.75,4.09,98.11,96.82
2018-07-27 01:44:22,18.56,100.11,77.19,4.09,98.11,94.83
2018-07-27 01:49:23,18.56,100.11,76.56,4.09,95.59,94.07
2018-07-27 01:54:24,18.50,100.11,75.31,4.09,96.54,96.71
2018-07-27 01:59:25,18.50,100.11,76.12,4.09,97.17,95.61
2018-07-27 02:04:26,18.50,100.11,76.12,4.09,97.17,95.61
2018-07-27 02:09:27,18.44,100.11,76.12,4.09,97.17,94.68
2018-07-27 02:14:28,18.62,100.11,77.75,4.09,95.75,94.68
2018-07-27 02:19:29,18.50,100.11,77.75,4.09,95.75,94.68
2018-07-27 02:24:30,18.37,100.11,77.75,4.09,95.75,94.68
2018-07-27 02:29:32,18.31,100.11,77.75,4.09,95.75,94.68
2018-07-27 02:34:33,18.25,100.11,77.00,4.09,94.17,94.17
2018-07-27 02:39:34,18.25,100.11,77.00,4.09,96.85,95.40
2018-07-27 02:44:35,18.19,100.11,77.00,4.09,96.85,95.40
2018-07-27 02:49:36,18.19,100.11,76.44,4.09,99.06,96.79
2018-07-27 02:54:37,18.00,100.11,75.44,4.09,99.06,97.57
2018-07-27 02:59:38,18.00,100.11,76.87,4.09,98.43,97.57
2018-07-27 03:04:39,17.87,100.11,74.94,4.09,98.43,97.57
2018-07-27 03:09:40,18.00,100.11,75.75,4.09,97.64,96.26
2018-07-27 03:14:41,17.75,100.11,75.75,4.09,97.64,96.26
2018-07-27 03:19:42,18.00,100.11,74.94,4.09,96.69,95.61
2018-07-27 03:24:43,17.94,100.11,74.94,4.09,98.27,96.29
2018-07-27 03:29:44,17.56,100.11,76.56,4.09,98.27,99.69
2018-07-27 03:34:46,17.81,100.11,75.94,4.09,98.27,96.35
2018-07-27 03:39:47,17.94,100.11,75.94,4.09,97.17,96.35
2018-07-27 03:44:48,17.75,100.11,74.81,4.09,97.17,95.19
2018-07-27 03:49:49,17.69,100.11,75.37,4.09,99.69,97.94
2018-07-27 03:54:50,17.62,100.11,75.37,4.09,99.69,97.94
2018-07-27 03:59:51,17.56,100.11,75.37,4.09,98.90,97.14
2018-07-27 04:04:52,17.44,100.11,74.81,4.09,99.85,97.14
2018-07-27 04:09:53,17.44,100.11,74.81,4.09,99.06,97.14
2018-07-27 04:14:54,17.25,100.11,74.81,4.09,99.06,96.48
2018-07-27 04:19:55,16.87,100.11,74.81,4.09,97.17,95.67
2018-07-27 04:24:56,17.00,100.11,74.81,4.09,98.11,96.52
2018-07-27 04:29:57,16.94,100.11,74.81,4.09,98.11,96.52
2018-07-27 04:34:58,17.00,100.11,73.75,4.09,99.22,97.46
2018-07-27 04:39:59,16.81,100.11,73.00,4.09,97.80,96.08
2018-07-27 04:45:01,17.12,100.11,73.00,4.09,99.06,97.28
2018-07-27 04:50:02,17.00,100.11,72.12,4.09,97.64,96.42
2018-07-27 04:55:03,17.00,100.11,72.12,4.09,97.64,96.42
2018-07-27 05:00:04,17.25,100.11,72.12,4.09,97.64,96.42
2018-07-27 05:05:05,17.00,100.11,72.12,4.09,97.64,100.47
2018-07-27 05:10:06,17.06,100.11,72.12,4.09,97.64,95.31
2018-07-27 05:15:07,17.44,100.11,71.19,4.09,97.64,96.56
2018-07-27 05:20:08,17.62,100.11,71.19,4.09,97.64,95.86
2018-07-27 05:25:09,17.62,100.11,71.19,4.09,97.64,95.86
2018-07-27 05:30:10,17.87,100.11,71.19,4.09,96.54,94.97
2018-07-27 05:35:11,17.81,100.11,71.19,4.09,97.17,94.97
2018-07-27 05:40:12,18.00,100.11,71.19,4.09,97.17,95.94
2018-07-27 05:45:13,17.87,100.11,70.31,4.09,96.38,94.58
2018-07-27 05:50:14,18.25,100.11,69.19,4.09,97.64,95.64
2018-07-27 05:55:16,18.06,100.11,69.19,4.09,95.28,93.23
2018-07-27 06:00:17,18.12,100.11,69.19,4.09,96.22,95.06
2018-07-27 06:05:18,18.25,100.11,68.06,4.09,95.59,94.14
2018-07-27 06:10:19,18.50,100.11,67.25,4.09,94.01,92.61
2018-07-27 06:15:20,18.69,100.11,67.25,4.09,94.01,92.61
2018-07-27 06:20:21,18.69,100.11,67.25,4.09,95.91,94.41
2018-07-27 06:25:22,18.87,100.11,67.25,4.09,94.80,93.78
2018-07-27 06:30:23,18.75,100.11,67.25,4.09,94.80,93.78
2018-07-27 06:35:24,19.19,100.11,67.25,4.09,94.17,92.86
2018-07-27 06:40:25,19.25,100.11,67.25,3.40,93.07,91.70
2018-07-27 06:45:26,19.50,100.11,65.75,3.40,92.12,91.09
2018-07-27 06:50:27,19.25,100.11,66.37,3.40,91.18,89.43
2018-07-27 06:55:28,19.56,100.11,66.37,3.40,92.91,92.03
2018-07-27 07:00:30,19.56,100.11,65.56,3.40,92.91,91.31
2018-07-27 07:05:31,19.94,100.11,65.56,3.40,91.33,90.22
2018-07-27 07:10:32,19.75,100.11,65.56,3.40,88.50,87.33
2018-07-27 07:15:33,20.06,100.11,65.56,3.40,88.50,88.08
2018-07-27 07:20:34,19.94,100.11,64.06,3.40,90.23,89.07
2018-07-27 07:25:35,20.19,100.11,65.31,3.40,88.50,87.18
2018-07-27 07:30:36,20.44,100.11,65.31,3.40,86.45,85.97
2018-07-27 07:35:37,20.25,100.11,65.31,3.40,85.66,84.62
2018-07-27 07:40:38,20.75,100.11,64.12,3.40,84.71,83.65
2018-07-27 07:45:39,20.69,100.11,63.56,3.40,84.71,83.65
2018-07-27 07:50:40,20.75,100.11,63.56,3.40,84.08,83.65
2018-07-27 07:55:41,21.06,100.11,63.56,3.40,82.35,82.02
2018-07-27 08:00:43,20.94,100.11,63.56,3.40,82.35,81.29
2018-07-27 08:05:44,21.25,100.11,62.81,3.40,82.35,81.29
2018-07-27 08:10:45,21.25,100.11,62.06,3.40,80.77,80.07
2018-07-27 08:15:46,21.44,100.11,62.69,3.40,80.77,80.07
2018-07-27 08:20:47,21.00,100.11,62.69,3.40,80.77,80.07
2018-07-27 08:25:48,21.81,100.11,62.00,3.40,80.77,80.07
2018-07-27 08:30:49,22.00,100.11,62.69,3.40,78.09,76.88
